code,product_name,brands,nutriscore_grade,energy_100g,fat_100g,sugars_100g,salt_100g
6111035000430,Sidi Ali,,,,,,
6111242100992,Perly,,,,,,
6111035002175,Sidi Ali,,,,,,
6111035000058,Eau minérale naturelle,,,,,,
6111252421568,اكوافينا,,,,,,
6111266962187,Lait,,,,,,
3274080005003,Eau De Source,,,,,,
6111246721261,Fromage blanc nature,,,,,,
6111242101180,uht jaouda 1L,,,,,,
6111242106949,Jben,,,,,,
6111128000071,Ain Saïss,,,,,,
6111035502828,Eau minéral naturelle,,,,,,
6111035000027,6111035000027,,,,,,
50184453,Marmite Yeast Extract,,,,,,
6111242100985,,,,,,,
6111032009665,Lait Frais,,,,,,
6111099003897,,,,,,,
5449000054227,Original Taste,,,,,,
6111252421582,اكوافينا,,,,,,
7622210449283,Prince Goût Chocolat,,,,,,
3046920029759,Excellence Noir Prodigieux 90% Cacao,,,,,,
3046920028004,Excellence 70% Cocoa Intense Dark,,,,,,
6111035003035,Oulmes natural carbonated water,,,,,,
3017620425035,Nutella,,,,,,
5449000147417,Orange juice,,,,,,
6111031005064,Tonik,,,,,,
6111180000231,levure pâtisserie,,,,,,
6111128000163,Ain Saiss Eau Minerale Naturelle,,,,,,
3175680011480,Sésame,,,,,,
6111162000839,Confiture de fraise,,,,,,
6111035001659,Ain Atlas,,,,,,
6111242100206,Yaourt nature,,,,,,
8410376009392,zero sin azúcares Fibra,,,,,,
3046920028363,Excellence 85% Cacao Rich Dark,,,,,,
6111035001635,Ain Atlas,,,,,,
6111184004129,Mayonnaise recette originale,,,,,,
5025125000006,Sourdough White Ciabattin Bread,,,,,,
5411188112709,Geröstete Mandel Ohne Zucker,,,,,,
6111128000460,,,,,,,
20995553,Dark Chocolate 85% Cocoa,,,,,,
3268840001008,CRISTALINE Eau De Source 0.5L,,,,,,
3017620422003,Nutella,,,,,,
5025125000112,The Great White Sourdough,,,,,,
20005733,,,,,,,
5025125000037,Sourdough Grains & Seeds,,,,,,
6111203006653,Cheddar,,,,,,
20724696,Almonds,,,,,,
6111184001562,Star Branded Iodized Salt,,,,,,
6111184004730,Ketchup,,,,,,
6111029000118,Cosumar Sucre En Lingot Pour Le Thé 1 kg,,,,,,
20267605,Cashewkerne,,,,,,
3362600011044,Henry’s,,,,,,
6111032001003,Assil,,,,,,
6111032000600,Salim,,,,,,
5449000214911,Coca-Cola,,,,,,
6111242100305,Cremy,,,,,,
5449000061515,Ciel,,,,,,
42104964,Ciel 33cl,,,,,,
8425197712024,,,,,,,
6111128000088,ain saiss 50cl,,,,,,
6111246721278,Cream cheese,,,,,,
5740900404465,Spreadable Slightly Salted,,,,,,
6111035003523,,,,,,,
6111035003004,Oulmes Eau Gazeuse,,,,,,
7622210578464,Organic 70% Dark Chocolate Bar,,,,,,
6111246954461,jibal jben,,,,,,
6111259343108,KING COOKIES,,,,,,
6111018903161,Nescafé Classic,,,,,,
6111032006619,Jamila,,,,,,
6111251420166,Eau,,,,,,
6111252421575,Aquafina 50cl,,,,,,
8445290615350,sauce tomate cuisinée,,,,,,
5449000214799,Coca-Cola Zero,,,,,,
3362600011228,Sable coco Henry s 42g,,,,,,
5000157024671,Fasole albă în sos de roșii,,,,,,
6111035001673,Aïn Atlas 50cl,,,,,,
20047238,,,,,,,
5411188124689,Hafer Milch,,,,,,
7394376616228,Oat Drink Barista Edition,,,,,,
6111250470742,Lait U.H.T entier,,,,,,
6111203001467,margarine la prairie 225g,,,,,,
7300400481595,Tartine croustillante Authentique,,,,,,
3046920022651,Excellence Noir Intense 70% Cacao,,,,,,
6111037000599,Familia 200g,,,,,,
6111184001661,Star vinaigre de table BLANC,,,,,,
6111032008583,,,,,,,
8052575090230,Nocciolata,,,,,,
3608580065340,Pâte à tartiner noisettes et cacao,,,,,,
5060042641000,Lightly Sea Salted,,,,,,
5010029000016,Weetabix,,,,,,
7622210584724,Dark chocolate,,,,,,
3057640257773,Eau Minérale Naturelle,,,,,,
6111162001218,Filets de maquereau,,,,,,
3046920022606,Excellence Noir Puissant 85% Cacao,,,,,,
3155251205296,Tartine Doux,,,,,,
6111251753912,611251753912,,,,,,
6111248360130,Aïn Soltane,,,,,,
6111003031107,,,,,,,
3229820100234,Fourrés Chocolat Noir,,,,,,
6111184001074,Confiture De Fraises 430 G,,,,,,
